sensorId,lat,lon,boxName,boxId,unit,temperatur_2018-10-31T23Z,temperatur_2018-11-01T00Z,temperatur_2018-11-01T01Z,temperatur_2018-11-01T02Z,temperatur_2018-11-01T03Z,temperatur_2018-11-01T04Z,temperatur_2018-11-01T05Z,temperatur_2018-11-01T06Z,temperatur_2018-11-01T07Z,temperatur_2018-11-01T08Z,temperatur_2018-11-01T09Z,temperatur_2018-11-01T10Z,temperatur_2018-11-01T11Z,temperatur_2018-11-01T12Z,temperatur_2018-11-01T13Z,temperatur_2018-11-01T14Z,temperatur_2018-11-01T15Z,temperatur_2018-11-01T16Z,temperatur_2018-11-01T17Z,temperatur_2018-11-01T18Z,temperatur_2018-11-01T19Z,temperatur_2018-11-01T20Z,temperatur_2018-11-01T21Z,temperatur_2018-11-01T22Z,temperatur_2018-11-01T23Z,temperatur_2018-11-02T00Z
56957f3ab3de1fe0052532e0,51.957090029248754,7.640642523765564,WG Wolbecker Str.,56957f3ab3de1fe0052532da,°C,12.584710144927536,11.727753623188406,11.76912408759124,12.40876811594203,12.011159420289856,11.397956204379561,11.447536231884058,11.0518115942029,11.416569343065692,12.98108695652174,13.94036231884058,14.23021897810219,14.693115942028987,15.313115942028986,14.44897810218978,13.543868613138686,13.066521739130435,12.300942028985506,12.352919708029196,12.348913043478262,12.01413043478261,11.863503649635037,11.755474452554745,11.843840579710145,12.186304347826088,12.52695652173913
57000b8745fd40c8196ad052,51.962372,7.64568,Oststr/Mauritzsteinpfad,57000b8745fd40c8196ad04c,°C,10.38,10.039166666666667,10.268333333333333,10.5475,10.079166666666667,9.468461538461538,8.975833333333334,8.21,8.338333333333333,9.4225,10.394166666666665,11.204615384615384,11.761666666666665,12.030000000000001,11.7275,11.276666666666666,10.7725,10.471666666666666,10.318461538461538,10.24,10.16,10.135833333333332,10.1975,10.335833333333333,10.734615384615385,11.171666666666667
5750220bed08f9680c6b415a,51.95616769306822,7.6511693559587,BalkonBox Mindener Str.,5750220bed08f9680c6b4154,°C,11.882,11.488983050847459,11.45,11.666833333333333,11.100999999999999,10.4335,10.420333333333334,9.7635,10.869666666666665,12.5665,12.2055,12.703166666666668,12.846666666666666,13.412333333333333,12.724666666666668,12.5985,12.229666666666667,11.840833333333334,11.617833333333333,11.159166666666666,10.755166666666666,10.891333333333334,11.001,11.034333333333333,11.439833333333333,12.1225
58932c89d038b000102f7d3a,52.001647,7.614025,KiTa Glühwürmchen,58932c89d038b000102f7d35,°C,9.175384615384615,8.772075471698113,9.195,9.726153846153846,9.130754716981132,8.063076923076922,7.472075471698113,6.6225000000000005,6.556153846153847,7.837358490566038,9.83,11.221132075471699,12.024615384615384,12.098076923076924,11.742830188679246,11.406538461538462,10.65846153846154,10.370000000000001,10.220192307692308,10.035769230769231,10.07,10.043846153846154,10.201698113207549,10.177307692307693,10.704807692307693,11.049056603773586
593bcd656ccf3b0011791f5b,51.960868,7.604288,CYBER Box,593bcd656ccf3b0011791f5a,°C,11.702666666666666,11.416666666666666,11.494833333333334,11.692666666666666,11.260833333333332,10.788,10.381499999999999,9.622333333333334,9.71488888888889,,,,,,,,,,,,,,,,,
599c9b80d67eb500118c6b60,51.954793,7.650543,wb132ms,599c9b80d67eb500118c6b5e,°C,10.735999999999999,10.329166666666667,10.4125,10.670833333333333,9.950000000000001,9.066666666666666,8.968,8.041666666666666,8.137500000000001,9.529166666666667,11.020833333333334,12.166666666666666,12.583333333333334,12.875,12.38695652173913,12.179166666666667,10.98,10.612499999999999,10.495652173913044,10.373913043478261,10.045833333333333,9.970833333333333,9.845833333333333,9.816,10.179166666666667,10.808333333333332
59c67b5ed67eb50011666dc0,51.946322,7.62677,kartoffelsalat,59c67b5ed67eb50011666dbb,°C,10.088688524590163,9.829333333333333,9.967166666666666,10.208499999999999,9.710833333333333,9.14542372881356,8.442786885245901,7.769833333333334,7.944333333333333,9.1865,10.319056603773584,11.1295,11.923333333333334,12.038166666666665,11.873333333333333,10.945666666666666,10.243500000000001,9.901,9.761833333333334,9.6375,9.453333333333335,9.490666666666668,9.515666666666668,9.559166666666666,9.975,10.351666666666667
59dcdbb400190a00115d217b,51.958065,7.619512,Grünspar,59dcdbb400190a00115d2174,°C,11.401636363636364,11.175333333333333,11.360000000000001,11.540666666666665,10.9365,10.331666666666667,9.494166666666667,8.835,10.324666666666667,12.428166666666666,12.1165,12.539166666666667,13.026,13.249833333333333,12.731166666666667,12.034500000000001,11.458333333333334,11.144,11.033666666666667,10.904666666666666,10.789833333333332,10.879833333333332,10.885333333333334,10.875833333333333,11.342166666666666,11.669833333333335
5a0c15289fd3c200110f3d3a,51.953351,7.641463,Wetterstation Hansaring,5a0c15289fd3c200110f3d33,°C,10.988333333333333,10.650666666666666,10.788333333333332,10.883000000000001,10.307500000000001,9.553333333333335,9.232333333333335,8.745333333333333,8.585666666666667,9.662333333333333,10.684666666666667,11.613166666666666,12.326500000000001,12.581999999999999,12.2325,11.791666666666666,11.346166666666667,10.922166666666667,10.730333333333334,10.571666666666665,10.469661016949154,10.608666666666666,10.712833333333332,10.795333333333334,11.241333333333333,11.559666666666667
5a0c2cc89fd3c200111118f7,51.960435,7.641426,Umwelthaus Münster,5a0c2cc89fd3c200111118f0,°C,10.913166666666665,10.56135593220339,10.715,11.002,10.379999999999999,9.733898305084745,9.384500000000001,8.908305084745763,8.991896551724137,9.941724137931034,10.995263157894737,11.7775,12.2425,12.616779661016949,12.222666666666667,11.779,11.272280701754386,10.878793103448276,10.808214285714286,10.704655172413792,10.555000000000001,10.577499999999999,10.623157894736842,10.666500000000001,11.087368421052632,11.487586206896552
